PD_ID,comment_date,industry,warning_signal_comment,pd_grade_before,pd_grade_after,grade_change,migration,true_theme,topic_id,topic_label
PD100417,2024-10-29,Technology,EBITDA declined 37% versus plan on volume weakness and pricing pressure. Cost reduction program announced but savings not yet visible in results.,9,9,0,No Change,revenue_decline,21,pricing pressure / pressure / visible results / visible
PD100418,2024-05-16,Construction,Contract repricing with the anchor customer cut unit margins 17%. Borrower has limited negotiating leverage given dependence on this relationship.,6,9,3,Downgrade,customer_concentration,18,pass / demand / margin / cost
PD100419,2025-01-17,Transportation,Loss of a major account announced; $68M of annual revenue affected beginning next quarter. Concentration risk previously flagged at underwriting.,7,8,1,Downgrade,customer_concentration,13,hedges / rates / market / quarters
PD100420,2024-08-11,Commercial Real Estate,Cash flow from operations insufficient to cover fixed charges this cycle. FCCR dropped to 0.9x. Sponsor has been approached for an equity injection to shore up liquidity.,5,6,1,Downgrade,liquidity_stress,17,fccr / equity / breach / sponsor
PD100421,2024-03-24,Hospitality,Ownership dispute among family shareholders is distracting management. Succession plan remains undocumented despite repeated requests at annual review.,5,8,3,Downgrade,management_turnover,6,annual / raised / repeated / concerns
PD100422,2025-01-05,Retail,Governance concerns raised after the audit committee chair stepped down. Board composition now lacks independent financial expertise.,6,6,0,No Change,management_turnover,6,annual / raised / repeated / concerns
PD100423,2025-06-01,Commercial Real Estate,Springing covenant triggered as revolver utilization exceeded 31%. Borrower is now subject to full quarterly covenant testing and failed the first leverage test.,7,7,0,No Change,covenant_breach,5,covenant / test / revolver utilization / discrepancies approximately
PD100424,2025-06-16,Construction,"Leverage remains elevated at 6.8x with no clear deleveraging path. PIK toggle exercised on the mezzanine tranche this period, growing the debt stack.",5,9,4,Downgrade,refinancing_risk,8,period / debt / elevated / leverage
PD100425,2025-05-15,Retail,Revenue contracted 31% year over year driven by softening demand. Gross margin compressed 255 bps on input cost inflation the borrower could not pass through.,7,10,3,Downgrade,revenue_decline,18,pass / demand / margin / cost
PD100426,2025-06-09,Transportation,Prolonged softness in the freight market; spot rates below breakeven for 6 consecutive quarters. Fleet utilization at 61%.,4,4,0,No Change,industry_headwinds,13,hedges / rates / market / quarters
PD100427,2025-04-18,Wholesale Trade,Repeated delays in delivering compliance certificates and monthly borrowing base certificates. Finance function appears under-resourced following staff departures.,12,14,2,Downgrade,reporting_delinquency,3,capital / operating / days / borrowing
PD100428,2024-09-17,Manufacturing,Key customer initiated in-sourcing of the borrower's product line. Customer concentration remains high with top three accounts at 73% of sales.,8,8,0,No Change,customer_concentration,11,customer / concentration / product / order
PD100429,2024-03-02,Retail,Asset sale proceeds of $173M applied to term debt. Leverage reduced to 2.1x from 4.6x at last review.,6,5,-1,Upgrade,deleveraging,7,refinancing risk / risk elevated / trade / capital
PD100430,2024-07-03,Healthcare,"New contract wins add $19M of committed multi-year revenue, diversifying the customer base and improving visibility.",5,3,-2,Upgrade,performance_improvement,14,regulatory / rates / revenue / multiyear
PD100431,2025-01-26,Construction,"Regulatory change effective next year is expected to reduce reimbursement rates by 10%, directly compressing borrower revenue in its core segment.",5,5,0,No Change,industry_headwinds,14,regulatory / rates / revenue / multiyear
PD100432,2024-05-16,Wholesale Trade,Same-store sales fell 17% and foot traffic remains weak. Inventory build of $10M raises markdown risk into next season.,7,10,3,Downgrade,revenue_decline,1,sales / lowered fullyear / fullyear / continues
PD100433,2025-02-06,Hospitality,EBITDA declined 18% versus plan on volume weakness and pricing pressure. Cost reduction program announced but savings not yet visible in results.,10,12,2,Downgrade,revenue_decline,21,pricing pressure / pressure / visible results / visible
PD100434,2024-01-24,Oil & Gas,Topline deterioration continues for a third consecutive quarter. Sales down 15% and order backlog thinning. Management lowered full-year guidance materially.,5,6,1,Downgrade,revenue_decline,1,sales / lowered fullyear / fullyear / continues
PD100435,2025-03-10,Hospitality,Minimum EBITDA covenant missed by 29%. Compliance certificate delivered late with a qualified calculation. Documentation team reviewing reservation of rights letter.,5,7,2,Downgrade,covenant_breach,9,ebitda / qualified / compliance / missed
PD100436,2024-12-20,Healthcare,"Regulatory change effective next year is expected to reduce reimbursement rates by 8%, directly compressing borrower revenue in its core segment.",6,8,2,Downgrade,industry_headwinds,14,regulatory / rates / revenue / multiyear
PD100437,2024-04-25,Manufacturing,"Auditor issued a qualified opinion related to inventory valuation. Management restated prior period results, reducing retained earnings by $9M.",10,11,1,Downgrade,reporting_delinquency,10,auditor / inventory / period / counsel
PD100438,2024-01-17,Commercial Real Estate,Repeated delays in delivering compliance certificates and monthly borrowing base certificates. Finance function appears under-resourced following staff departures.,7,8,1,Downgrade,reporting_delinquency,3,capital / operating / days / borrowing
PD100439,2024-02-19,Commercial Real Estate,Asset sale proceeds of $42M applied to term debt. Leverage reduced to 2.2x from 4.1x at last review.,10,9,-1,Upgrade,deleveraging,7,refinancing risk / risk elevated / trade / capital
PD100440,2024-08-10,Manufacturing,Turnaround gaining traction: EBITDA up 40% year over year and margins recovered to 16%. Cost actions delivered ahead of plan.,5,3,-2,Upgrade,performance_improvement,9,ebitda / qualified / compliance / missed
PD100441,2024-08-27,Business Services,Borrower delinquent on quarterly reporting for the second time this year. Field exam identified borrowing base discrepancies of approximately $10M.,10,11,1,Downgrade,reporting_delinquency,5,covenant / test / revolver utilization / discrepancies approximately
PD100442,2024-11-24,Commercial Real Estate,Operational restructuring complete; plant consolidation yields $15M of annualized savings. Order intake trending 28% above prior year.,4,2,-2,Upgrade,performance_improvement,11,customer / concentration / product / order
PD100443,2025-06-17,Commercial Real Estate,Key customer initiated in-sourcing of the borrower's product line. Customer concentration remains high with top three accounts at 54% of sales.,9,10,1,Downgrade,customer_concentration,11,customer / concentration / product / order
PD100444,2024-03-03,Hospitality,Governance concerns raised after the audit committee chair stepped down. Board composition now lacks independent financial expertise.,6,7,1,Downgrade,management_turnover,6,annual / raised / repeated / concerns
PD100445,2024-02-18,Technology,Material weakness in internal controls disclosed. Segregation of duties issues in the treasury function; remediation plan requested by Q2 2025.,12,12,0,No Change,reporting_delinquency,2,headroom / concerns / missed / revolver
PD100446,2025-03-02,Transportation,Minimum EBITDA covenant missed by 24%. Compliance certificate delivered late with a qualified calculation. Documentation team reviewing reservation of rights letter.,8,10,2,Downgrade,covenant_breach,9,ebitda / qualified / compliance / missed
PD100447,2025-04-29,Commercial Real Estate,Fixed charge coverage covenant violation reported. FCCR of 0.8x versus required 1.10x. This is the second consecutive quarterly breach; amendment discussions ongoing.,10,13,3,Downgrade,covenant_breach,17,fccr / equity / breach / sponsor
PD100448,2024-05-27,Construction,New tariffs raise landed costs approximately 19% on the borrower's primary import lines. Ability to pass through to customers is unproven.,6,6,0,No Change,industry_headwinds,4,exposure / filed / new / approximately
PD100449,2025-03-02,Hospitality,Audited financial statements are 131 days past due. Auditor cited unresolved revenue recognition matters; a going concern qualification has not been ruled out.,8,9,1,Downgrade,reporting_delinquency,9,ebitda / qualified / compliance / missed
PD100450,2024-07-27,Technology,Cash flow from operations insufficient to cover fixed charges this cycle. FCCR dropped to 0.6x. Sponsor has been approached for an equity injection to shore up liquidity.,5,9,4,Downgrade,liquidity_stress,17,fccr / equity / breach / sponsor
PD100451,2024-07-14,Manufacturing,CFO resigned abruptly in Q4 2025 with no permanent successor named; interim finance lead has limited sector experience. Second C-suite departure in twelve months.,9,9,0,No Change,management_turnover,3,capital / operating / days / borrowing
PD100452,2024-02-10,Retail,"Sponsor injected $63M of fresh equity, curing the covenant breach and funding the growth capex program. Liquidity restored to $116M.",8,8,0,No Change,deleveraging,17,fccr / equity / breach / sponsor
PD100453,2024-08-01,Technology,Topline deterioration continues for a third consecutive quarter. Sales down 25% and order backlog thinning. Management lowered full-year guidance materially.,5,6,1,Downgrade,revenue_decline,13,hedges / rates / market / quarters
PD100454,2024-08-04,Commercial Real Estate,EBITDA declined 45% versus plan on volume weakness and pricing pressure. Cost reduction program announced but savings not yet visible in results.,7,8,1,Downgrade,revenue_decline,21,pricing pressure / pressure / visible results / visible
PD100455,2024-07-28,Transportation,Borrower has fully drawn the revolver with utilization at 100%. Cash position declined to $5M and liquidity runway is under 8 months without additional support.,6,9,3,Downgrade,liquidity_stress,16,position / revolver utilization / revolver / additional
PD100456,2025-01-24,Construction,New tariffs raise landed costs approximately 20% on the borrower's primary import lines. Ability to pass through to customers is unproven.,8,10,2,Downgrade,industry_headwinds,4,exposure / filed / new / approximately
PD100457,2025-06-09,Construction,Prolonged softness in the freight market; spot rates below breakeven for 5 consecutive quarters. Fleet utilization at 69%.,4,4,0,No Change,industry_headwinds,13,hedges / rates / market / quarters
PD100458,2025-04-25,Technology,"Interest burden up sharply post rate resets; cash interest coverage at 1.1x. Hedges expired and were not replaced, leaving full floating-rate exposure.",11,13,2,Downgrade,refinancing_risk,13,hedges / rates / market / quarters
PD100459,2024-02-16,Agriculture,New tariffs raise landed costs approximately 21% on the borrower's primary import lines. Ability to pass through to customers is unproven.,7,8,1,Downgrade,industry_headwinds,4,exposure / filed / new / approximately
PD100460,2025-03-03,Oil & Gas,Asset sale proceeds of $62M applied to term debt. Leverage reduced to 2.0x from 4.8x at last review.,8,5,-3,Upgrade,deleveraging,7,refinancing risk / risk elevated / trade / capital
PD100461,2024-09-08,Construction,Fixed charge coverage covenant violation reported. FCCR of 0.8x versus required 1.10x. This is the second consecutive quarterly breach; amendment discussions ongoing.,5,7,2,Downgrade,covenant_breach,17,fccr / equity / breach / sponsor
PD100462,2024-12-11,Oil & Gas,Ownership dispute among family shareholders is distracting management. Succession plan remains undocumented despite repeated requests at annual review.,5,7,2,Downgrade,management_turnover,6,annual / raised / repeated / concerns
PD100463,2025-05-17,Construction,"Interest burden up sharply post rate resets; cash interest coverage at 1.6x. Hedges expired and were not replaced, leaving full floating-rate exposure.",6,7,1,Downgrade,refinancing_risk,13,hedges / rates / market / quarters
PD100464,2024-05-23,Business Services,Fixed charge coverage covenant violation reported. FCCR of 1.0x versus required 1.10x. This is the second consecutive quarterly breach; amendment discussions ongoing.,10,12,2,Downgrade,covenant_breach,17,fccr / equity / breach / sponsor
PD100465,2024-03-01,Hospitality,Prolonged softness in the freight market; spot rates below breakeven for 6 consecutive quarters. Fleet utilization at 65%.,5,7,2,Downgrade,industry_headwinds,13,hedges / rates / market / quarters
PD100466,2024-02-19,Manufacturing,Top customer representing 51% of revenue did not renew its contract at term. Replacement pipeline covers less than half of the lost volume.,7,8,1,Downgrade,customer_concentration,1,sales / lowered fullyear / fullyear / continues
PD100467,2024-08-24,Retail,Largest customer filed for bankruptcy protection; receivable exposure of $7M likely impaired. Trade credit insurance covers only a portion.,5,6,1,Downgrade,customer_concentration,4,exposure / filed / new / approximately
PD100468,2025-04-11,Technology,Topline deterioration continues for a third consecutive quarter. Sales down 8% and order backlog thinning. Management lowered full-year guidance materially.,3,5,2,Downgrade,revenue_decline,1,sales / lowered fullyear / fullyear / continues
PD100469,2025-02-25,Manufacturing,CFO resigned abruptly in Q4 2025 with no permanent successor named; interim finance lead has limited sector experience. Second C-suite departure in twelve months.,12,12,0,No Change,management_turnover,3,capital / operating / days / borrowing
PD100470,2024-10-20,Manufacturing,Sector outlook deteriorating; industry volumes down 16% and two regional competitors filed for Chapter 11 this year. Borrower exposed to the same demand drivers.,7,9,2,Downgrade,industry_headwinds,0,sector / margin / outlook / operating
PD100471,2024-07-02,Retail,Debt paydown ahead of schedule; net leverage now 2.8x. Rating outlook revised to stable given strengthened balance sheet.,6,5,-1,Upgrade,deleveraging,8,period / debt / elevated / leverage
PD100472,2025-06-23,Oil & Gas,Turnaround gaining traction: EBITDA up 48% year over year and margins recovered to 11%. Cost actions delivered ahead of plan.,7,5,-2,Upgrade,performance_improvement,9,ebitda / qualified / compliance / missed
PD100473,2024-03-21,Technology,EBITDA declined 23% versus plan on volume weakness and pricing pressure. Cost reduction program announced but savings not yet visible in results.,8,10,2,Downgrade,revenue_decline,21,pricing pressure / pressure / visible results / visible
PD100474,2024-08-19,Oil & Gas,Same-store sales fell 19% and foot traffic remains weak. Inventory build of $20M raises markdown risk into next season.,7,8,1,Downgrade,revenue_decline,1,sales / lowered fullyear / fullyear / continues
PD100475,2024-01-10,Business Services,Borrower breached the maximum leverage covenant in Q1 2024; reported 5.7x against a 3.9x threshold. Waiver request under negotiation with the bank group.,5,8,3,Downgrade,covenant_breach,19,covenants / covenant / test / additional
PD100476,2024-04-07,Hospitality,Asset sale proceeds of $46M applied to term debt. Leverage reduced to 2.7x from 4.7x at last review.,9,8,-1,Upgrade,deleveraging,7,refinancing risk / risk elevated / trade / capital
PD100477,2025-05-01,Oil & Gas,Borrower has fully drawn the revolver with utilization at 92%. Cash position declined to $5M and liquidity runway is under 9 months without additional support.,12,14,2,Downgrade,liquidity_stress,16,position / revolver utilization / revolver / additional
PD100478,2024-10-14,Hospitality,Top customer representing 54% of revenue did not renew its contract at term. Replacement pipeline covers less than half of the lost volume.,7,7,0,No Change,customer_concentration,1,sales / lowered fullyear / fullyear / continues
PD100479,2024-07-02,Technology,Ownership dispute among family shareholders is distracting management. Succession plan remains undocumented despite repeated requests at annual review.,6,6,0,No Change,management_turnover,6,annual / raised / repeated / concerns
PD100480,2025-02-11,Retail,Borrower has fully drawn the revolver with utilization at 91%. Cash position declined to $11M and liquidity runway is under 4 months without additional support.,7,10,3,Downgrade,liquidity_stress,16,position / revolver utilization / revolver / additional
PD100481,2025-02-02,Wholesale Trade,"Sponsor injected $35M of fresh equity, curing the covenant breach and funding the growth capex program. Liquidity restored to $102M.",3,1,-2,Upgrade,deleveraging,17,fccr / equity / breach / sponsor
PD100482,2024-05-23,Business Services,Prolonged softness in the freight market; spot rates below breakeven for 5 consecutive quarters. Fleet utilization at 72%.,5,6,1,Downgrade,industry_headwinds,13,hedges / rates / market / quarters
PD100483,2024-03-18,Technology,Term loan of $306M matures in 11 months with no committed refinancing. Current leverage of 5.1x makes a market refinance challenging.,8,9,1,Downgrade,refinancing_risk,15,refinancing / committed / market / term
PD100484,2025-02-10,Technology,"Leverage remains elevated at 7.4x with no clear deleveraging path. PIK toggle exercised on the mezzanine tranche this period, growing the debt stack.",7,10,3,Downgrade,refinancing_risk,8,period / debt / elevated / leverage
PD100485,2024-12-30,Hospitality,Borrower has fully drawn the revolver with utilization at 93%. Cash position declined to $14M and liquidity runway is under 6 months without additional support.,6,8,2,Downgrade,liquidity_stress,16,position / revolver utilization / revolver / additional
PD100486,2025-01-24,Retail,Liquidity concerns escalating. The borrower missed a scheduled sweep and drew the remaining $16M of revolver availability to fund payroll. Treasury reports minimal headroom.,6,8,2,Downgrade,liquidity_stress,2,headroom / concerns / missed / revolver
PD100487,2024-03-16,Retail,"Leverage remains elevated at 6.2x with no clear deleveraging path. PIK toggle exercised on the mezzanine tranche this period, growing the debt stack.",7,8,1,Downgrade,refinancing_risk,8,period / debt / elevated / leverage
PD100488,2024-06-06,Business Services,"Sponsor injected $34M of fresh equity, curing the covenant breach and funding the growth capex program. Liquidity restored to $78M.",8,7,-1,Upgrade,deleveraging,17,fccr / equity / breach / sponsor
PD100489,2024-01-06,Oil & Gas,Same-store sales fell 15% and foot traffic remains weak. Inventory build of $28M raises markdown risk into next season.,8,8,0,No Change,revenue_decline,1,sales / lowered fullyear / fullyear / continues
PD100490,2024-10-03,Retail,Governance concerns raised after the audit committee chair stepped down. Board composition now lacks independent financial expertise.,4,5,1,Downgrade,management_turnover,6,annual / raised / repeated / concerns
PD100491,2025-04-04,Hospitality,Topline deterioration continues for a third consecutive quarter. Sales down 10% and order backlog thinning. Management lowered full-year guidance materially.,10,11,1,Downgrade,revenue_decline,1,sales / lowered fullyear / fullyear / continues
PD100492,2024-04-01,Technology,"Leverage remains elevated at 6.8x with no clear deleveraging path. PIK toggle exercised on the mezzanine tranche this period, growing the debt stack.",6,6,0,No Change,refinancing_risk,8,period / debt / elevated / leverage
PD100493,2024-11-28,Transportation,Cash flow from operations insufficient to cover fixed charges this cycle. FCCR dropped to 0.6x. Sponsor has been approached for an equity injection to shore up liquidity.,9,10,1,Downgrade,liquidity_stress,17,fccr / equity / breach / sponsor
PD100494,2024-09-05,Agriculture,Borrower has fully drawn the revolver with utilization at 94%. Cash position declined to $8M and liquidity runway is under 6 months without additional support.,4,6,2,Downgrade,liquidity_stress,16,position / revolver utilization / revolver / additional
PD100495,2024-05-22,Oil & Gas,Cash flow from operations insufficient to cover fixed charges this cycle. FCCR dropped to 0.7x. Sponsor has been approached for an equity injection to shore up liquidity.,5,7,2,Downgrade,liquidity_stress,17,fccr / equity / breach / sponsor
PD100496,2024-03-05,Healthcare,Commodity price downturn pressuring the entire sub-sector. Rig counts and shipment volumes at multi-year lows; borrower hedges roll off in 3 quarters.,10,11,1,Downgrade,industry_headwinds,0,sector / margin / outlook / operating
PD100497,2025-05-10,Retail,Liquidity concerns escalating. The borrower missed a scheduled sweep and drew the remaining $11M of revolver availability to fund payroll. Treasury reports minimal headroom.,4,6,2,Downgrade,liquidity_stress,2,headroom / concerns / missed / revolver
PD100498,2025-05-22,Agriculture,EBITDA declined 23% versus plan on volume weakness and pricing pressure. Cost reduction program announced but savings not yet visible in results.,7,10,3,Downgrade,revenue_decline,21,pricing pressure / pressure / visible results / visible
PD100499,2024-11-07,Manufacturing,Margin erosion accelerating; operating margin at 2% versus 11% prior year. Competitive discounting in the sector shows no sign of abating.,5,5,0,No Change,revenue_decline,0,sector / margin / outlook / operating
PD100500,2025-01-24,Technology,Largest customer filed for bankruptcy protection; receivable exposure of $13M likely impaired. Trade credit insurance covers only a portion.,6,8,2,Downgrade,customer_concentration,4,exposure / filed / new / approximately
PD100501,2024-05-19,Oil & Gas,"Interest burden up sharply post rate resets; cash interest coverage at 1.2x. Hedges expired and were not replaced, leaving full floating-rate exposure.",3,4,1,Downgrade,refinancing_risk,13,hedges / rates / market / quarters
PD100502,2024-07-24,Construction,EPA notice of violation received relating to the primary facility. Remediation cost estimates range up to $46M; operations could face interruption.,12,13,1,Downgrade,legal_regulatory,4,exposure / filed / new / approximately
PD100503,2024-11-22,Oil & Gas,"Refinancing risk elevated. The borrower's bonds trade at 60 cents on the dollar, signaling constrained capital markets access.",8,11,3,Downgrade,refinancing_risk,7,refinancing risk / risk elevated / trade / capital
PD100504,2024-09-05,Technology,Repeated delays in delivering compliance certificates and monthly borrowing base certificates. Finance function appears under-resourced following staff departures.,7,8,1,Downgrade,reporting_delinquency,3,capital / operating / days / borrowing
PD100505,2025-02-06,Technology,Minimum EBITDA covenant missed by 16%. Compliance certificate delivered late with a qualified calculation. Documentation team reviewing reservation of rights letter.,7,11,4,Downgrade,covenant_breach,9,ebitda / qualified / compliance / missed
PD100506,2024-01-28,Business Services,Term loan of $338M matures in 9 months with no committed refinancing. Current leverage of 6.5x makes a market refinance challenging.,6,8,2,Downgrade,refinancing_risk,15,refinancing / committed / market / term
PD100507,2024-10-25,Business Services,Liquidity concerns escalating. The borrower missed a scheduled sweep and drew the remaining $9M of revolver availability to fund payroll. Treasury reports minimal headroom.,5,8,3,Downgrade,liquidity_stress,2,headroom / concerns / missed / revolver
PD100508,2025-05-26,Healthcare,Revenue contracted 35% year over year driven by softening demand. Gross margin compressed 557 bps on input cost inflation the borrower could not pass through.,10,11,1,Downgrade,revenue_decline,18,pass / demand / margin / cost
PD100509,2024-06-06,Business Services,"Refinancing risk elevated. The borrower's bonds trade at 62 cents on the dollar, signaling constrained capital markets access.",6,7,1,Downgrade,refinancing_risk,7,refinancing risk / risk elevated / trade / capital
PD100510,2025-05-05,Agriculture,Liquidity concerns escalating. The borrower missed a scheduled sweep and drew the remaining $15M of revolver availability to fund payroll. Treasury reports minimal headroom.,10,10,0,No Change,liquidity_stress,2,headroom / concerns / missed / revolver
PD100511,2025-03-04,Hospitality,Minimum EBITDA covenant missed by 25%. Compliance certificate delivered late with a qualified calculation. Documentation team reviewing reservation of rights letter.,8,11,3,Downgrade,covenant_breach,9,ebitda / qualified / compliance / missed
PD100512,2024-03-28,Retail,Revenue contracted 35% year over year driven by softening demand. Gross margin compressed 334 bps on input cost inflation the borrower could not pass through.,6,7,1,Downgrade,revenue_decline,18,pass / demand / margin / cost
PD100513,2024-06-19,Wholesale Trade,Borrower delinquent on quarterly reporting for the second time this year. Field exam identified borrowing base discrepancies of approximately $12M.,8,11,3,Downgrade,reporting_delinquency,5,covenant / test / revolver utilization / discrepancies approximately
PD100514,2025-02-13,Technology,Prolonged softness in the freight market; spot rates below breakeven for 3 consecutive quarters. Fleet utilization at 78%.,6,8,2,Downgrade,industry_headwinds,13,hedges / rates / market / quarters
PD100515,2025-06-06,Business Services,Voluntary prepayment of $23M made this quarter. FCCR improved to 1.5x and all covenants passed with comfortable headroom.,10,10,0,No Change,deleveraging,10,auditor / inventory / period / counsel
PD100516,2024-08-14,Construction,Contract repricing with the anchor customer cut unit margins 27%. Borrower has limited negotiating leverage given dependence on this relationship.,8,10,2,Downgrade,customer_concentration,18,pass / demand / margin / cost
PD100517,2025-05-27,Healthcare,Significant cash burn observed. Unrestricted cash fell 55% quarter over quarter and the company is deferring capex to preserve liquidity. Monitoring weekly 13-week cash flow forecasts.,8,10,2,Downgrade,liquidity_stress,12,cash / significant / capex / monitoring
PD100518,2025-03-01,Retail,Financial covenants tripped at the Q1 2025 test date. The borrower requested a covenant holiday through year end. Pricing step-up and additional reporting agreed as conditions.,5,5,0,No Change,covenant_breach,19,covenants / covenant / test / additional
PD100519,2025-04-11,Commercial Real Estate,CFO resigned abruptly in Q2 2025 with no permanent successor named; interim finance lead has limited sector experience. Second C-suite departure in twelve months.,8,9,1,Downgrade,management_turnover,3,capital / operating / days / borrowing
PD100520,2024-04-09,Construction,Springing covenant triggered as revolver utilization exceeded 37%. Borrower is now subject to full quarterly covenant testing and failed the first leverage test.,7,9,2,Downgrade,covenant_breach,5,covenant / test / revolver utilization / discrepancies approximately
PD100521,2024-02-15,Business Services,"New contract wins add $55M of committed multi-year revenue, diversifying the customer base and improving visibility.",4,4,0,No Change,performance_improvement,14,regulatory / rates / revenue / multiyear
PD100522,2024-04-21,Wholesale Trade,Top customer representing 25% of revenue did not renew its contract at term. Replacement pipeline covers less than half of the lost volume.,7,9,2,Downgrade,customer_concentration,1,sales / lowered fullyear / fullyear / continues
PD100523,2024-06-12,Technology,Loss of a major account announced; $41M of annual revenue affected beginning next quarter. Concentration risk previously flagged at underwriting.,10,11,1,Downgrade,customer_concentration,13,hedges / rates / market / quarters
PD100524,2025-02-18,Wholesale Trade,"Leverage remains elevated at 6.6x with no clear deleveraging path. PIK toggle exercised on the mezzanine tranche this period, growing the debt stack.",8,11,3,Downgrade,refinancing_risk,8,period / debt / elevated / leverage
PD100525,2025-02-09,Manufacturing,Fixed charge coverage covenant violation reported. FCCR of 0.8x versus required 1.10x. This is the second consecutive quarterly breach; amendment discussions ongoing.,8,10,2,Downgrade,covenant_breach,17,fccr / equity / breach / sponsor
PD100526,2025-02-02,Manufacturing,Operational restructuring complete; plant consolidation yields $11M of annualized savings. Order intake trending 24% above prior year.,8,6,-2,Upgrade,performance_improvement,11,customer / concentration / product / order
PD100527,2024-03-05,Agriculture,Loss of a major account announced; $36M of annual revenue affected beginning next quarter. Concentration risk previously flagged at underwriting.,7,7,0,No Change,customer_concentration,13,hedges / rates / market / quarters
PD100528,2024-11-29,Commercial Real Estate,Class action lawsuit filed alleging product defects; potential exposure estimated at $147M. Insurance coverage position remains unclear.,8,11,3,Downgrade,legal_regulatory,4,exposure / filed / new / approximately
PD100529,2025-05-16,Hospitality,Repeated delays in delivering compliance certificates and monthly borrowing base certificates. Finance function appears under-resourced following staff departures.,3,3,0,No Change,reporting_delinquency,3,capital / operating / days / borrowing
PD100530,2025-02-05,Agriculture,"Auditor issued a qualified opinion related to inventory valuation. Management restated prior period results, reducing retained earnings by $22M.",9,11,2,Downgrade,reporting_delinquency,10,auditor / inventory / period / counsel
PD100531,2024-10-31,Agriculture,Term loan of $228M matures in 11 months with no committed refinancing. Current leverage of 7.1x makes a market refinance challenging.,6,8,2,Downgrade,refinancing_risk,15,refinancing / committed / market / term
PD100532,2024-09-01,Oil & Gas,Prolonged softness in the freight market; spot rates below breakeven for 3 consecutive quarters. Fleet utilization at 64%.,7,8,1,Downgrade,industry_headwinds,13,hedges / rates / market / quarters
PD100533,2024-05-24,Hospitality,Top customer representing 30% of revenue did not renew its contract at term. Replacement pipeline covers less than half of the lost volume.,8,8,0,No Change,customer_concentration,1,sales / lowered fullyear / fullyear / continues
PD100534,2025-01-27,Transportation,"Interest burden up sharply post rate resets; cash interest coverage at 1.3x. Hedges expired and were not replaced, leaving full floating-rate exposure.",4,6,2,Downgrade,refinancing_risk,13,hedges / rates / market / quarters
PD100535,2024-06-26,Hospitality,Topline deterioration continues for a third consecutive quarter. Sales down 23% and order backlog thinning. Management lowered full-year guidance materially.,8,11,3,Downgrade,revenue_decline,1,sales / lowered fullyear / fullyear / continues
PD100536,2025-04-06,Agriculture,Operating cash flow turned negative in Q4 2025. Working capital squeeze evident; payables stretched beyond 68 days and the borrower requested a temporary overadvance.,5,8,3,Downgrade,liquidity_stress,3,capital / operating / days / borrowing
PD100537,2025-05-11,Healthcare,Successful refinancing completed; maturities extended to 2030 at improved pricing. Near-term refinancing risk eliminated.,4,1,-3,Upgrade,deleveraging,15,refinancing / committed / market / term
PD100538,2025-06-01,Wholesale Trade,Fixed charge coverage covenant violation reported. FCCR of 1.0x versus required 1.10x. This is the second consecutive quarterly breach; amendment discussions ongoing.,9,11,2,Downgrade,covenant_breach,17,fccr / equity / breach / sponsor
PD100539,2025-03-30,Construction,Voluntary prepayment of $62M made this quarter. FCCR improved to 2.2x and all covenants passed with comfortable headroom.,5,1,-4,Upgrade,deleveraging,10,auditor / inventory / period / counsel
PD100540,2024-08-13,Oil & Gas,Debt maturity wall approaching; 45% of funded debt comes due within 18 months. Sponsor exploring amend-and-extend but lender appetite is uncertain.,7,10,3,Downgrade,refinancing_risk,20,debt / sponsor / months / 
PD100541,2024-06-21,Construction,CFO resigned abruptly in Q3 2024 with no permanent successor named; interim finance lead has limited sector experience. Second C-suite departure in twelve months.,11,12,1,Downgrade,management_turnover,3,capital / operating / days / borrowing
PD100542,2025-06-07,Retail,Cash flow from operations insufficient to cover fixed charges this cycle. FCCR dropped to 0.9x. Sponsor has been approached for an equity injection to shore up liquidity.,4,7,3,Downgrade,liquidity_stress,17,fccr / equity / breach / sponsor
PD100543,2025-01-10,Hospitality,Contract repricing with the anchor customer cut unit margins 13%. Borrower has limited negotiating leverage given dependence on this relationship.,7,8,1,Downgrade,customer_concentration,18,pass / demand / margin / cost
PD100544,2024-08-11,Transportation,Sector outlook deteriorating; industry volumes down 20% and two regional competitors filed for Chapter 11 this year. Borrower exposed to the same demand drivers.,6,7,1,Downgrade,industry_headwinds,0,sector / margin / outlook / operating
PD100545,2024-09-10,Oil & Gas,Audited financial statements are 154 days past due. Auditor cited unresolved revenue recognition matters; a going concern qualification has not been ruled out.,11,14,3,Downgrade,reporting_delinquency,9,ebitda / qualified / compliance / missed
PD100546,2024-03-30,Construction,Audited financial statements are 117 days past due. Auditor cited unresolved revenue recognition matters; a going concern qualification has not been ruled out.,9,11,2,Downgrade,reporting_delinquency,9,ebitda / qualified / compliance / missed
PD100547,2025-03-14,Healthcare,Borrower breached the maximum leverage covenant in Q2 2024; reported 6.9x against a 4.1x threshold. Waiver request under negotiation with the bank group.,7,10,3,Downgrade,covenant_breach,19,covenants / covenant / test / additional
PD100548,2024-07-30,Manufacturing,Cash flow from operations insufficient to cover fixed charges this cycle. FCCR dropped to 0.6x. Sponsor has been approached for an equity injection to shore up liquidity.,7,9,2,Downgrade,liquidity_stress,17,fccr / equity / breach / sponsor
